Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Pratilipi,2014,Bangalore,Media & Entertainment,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,9400000.0,Series C,2020
Biryani By Kilo,2016,New Delhi,Food & Beverages,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series B,2020
Tessol,2016,Mumbai,Transport,It provides end to end cold chain logistics solutions,Rajat Gupta,1Funds Domestic Scheme,160000.0,Series A,2020
Classplus,2008,New Delhi,Education,"It provides mobile-first software for coaching institutes, tuition centres and private tutors","Mukul Rustagi, Bhaswat Agarwal",RTP Global,8200000.0,Series B,2020
MYSUN,2015,New Delhi,Technology,Platform for rooftop solar energy solutions,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,4257000.0,Pre-series A,2020
NewsBytes,2016,Gurgaon,Media & Entertainment,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,1500000.0,Series A,2020
Convosight,2019,Hyderabad,Business Intelligence,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",4000000.0,Pre-series A,2020
Bira91,2015,Bangalore,Food & Beverages,Craft beer maker,Ankur Jain,"Sequoia Capital, Sofina",20000000.0,Series C,2020
Guvi Geek Network Pvt Ltd,2014,Chennai,Education,Operates vernacular-language based education,"SP Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,786000.0,Pre-series A,2020
LoadShare,2017,Bangalore,Transport,Provides technology based solutions to SMEs in logistics,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,2004000.0,Series B,2020
Vedantu,2016,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",KB Global Platform Firm,6800000.0,Series C,2020
Spintly,2017,Goa,Technology,It is a wireless cloud-based access control system,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Pre-series A,2020
Bijak,2016,Gurgaon,Agriculture,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics","Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,12000000.0,Series A,2020
